Home Team,Away Team,Score
West Ham United FC,Everton FC,2 - 0
Southampton FC,Aston Villa FC,0 - 1
Leicester City FC,Brighton & Hove Albion FC,2 - 2
AFC Bournemouth,Nottingham Forest FC,1 - 1
Crystal Palace FC,Newcastle United FC,0 - 0
Manchester City FC,Wolverhampton Wanderers FC,3 - 0
Leeds United FC,Brentford FC,0 - 0
Arsenal FC,Manchester United FC,3 - 2
Fulham FC,Tottenham Hotspur FC,0 - 1
Chelsea FC,Fulham FC,0 - 0
Everton FC,Arsenal FC,1 - 0
Wolverhampton Wanderers FC,Liverpool FC,3 - 0
Manchester United FC,Crystal Palace FC,2 - 1
Brighton & Hove Albion FC,AFC Bournemouth,1 - 0
Brentford FC,Southampton FC,3 - 0
Aston Villa FC,Leicester City FC,2 - 4
Newcastle United FC,West Ham United FC,1 - 1
Nottingham Forest FC,Leeds United FC,1 - 0
Tottenham Hotspur FC,Manchester City FC,1 - 0
Manchester United FC,Leeds United FC,2 - 2
West Ham United FC,Chelsea FC,1 - 1
Southampton FC,Wolverhampton Wanderers FC,1 - 2
Leicester City FC,Tottenham Hotspur FC,4 - 1
Fulham FC,Nottingham Forest FC,2 - 0
Crystal Palace FC,Brighton & Hove Albion FC,1 - 1
Arsenal FC,Brentford FC,1 - 1
AFC Bournemouth,Newcastle United FC,1 - 1
Leeds United FC,Manchester United FC,0 - 2
Manchester City FC,Aston Villa FC,3 - 1
Liverpool FC,Everton FC,2 - 0
Arsenal FC,Manchester City FC,1 - 3
Aston Villa FC,Arsenal FC,2 - 4
Wolverhampton Wanderers FC,AFC Bournemouth,0 - 1
Nottingham Forest FC,Manchester City FC,1 - 1
Everton FC,Leeds United FC,1 - 0
Chelsea FC,Southampton FC,0 - 1
Brighton & Hove Albion FC,Fulham FC,0 - 1
Brentford FC,Crystal Palace FC,1 - 1
Newcastle United FC,Liverpool FC,0 - 2
Manchester United FC,Leicester City FC,3 - 0
Tottenham Hotspur FC,West Ham United FC,2 - 0
Fulham FC,Wolverhampton Wanderers FC,1 - 1
West Ham United FC,Nottingham Forest FC,4 - 0
